Success Rate (%),Average Cost,Standard Deviation,Average Execution Time (s),Parameters,Dataset
100.0,19325.2,764.4,0.008400392532348634,"(1000, 0.95, 2000, 1e-05, 1000, 1000)",datasets/sppnw41.txt
100.0,50863.0,10461.097638393401,0.04908373355865479,"(1000, 0.95, 2000, 1e-05, 1000, 10000)",datasets/sppnw41.txt
100.0,327356.2,150554.76402346088,0.06273951530456542,"(1000, 0.95, 2000, 1e-05, 1000, 100000)",datasets/sppnw41.txt
100.0,18196.5,1610.8251456939702,0.008359193801879883,"(1000, 0.95, 2000, 1e-05, 2000, 1000)",datasets/sppnw41.txt
100.0,48484.3,9609.93804402505,0.05344088077545166,"(1000, 0.95, 2000, 1e-05, 2000, 10000)",datasets/sppnw41.txt
100.0,368580.5,81027.83626168231,0.0467242956161499,"(1000, 0.95, 2000, 1e-05, 2000, 100000)",datasets/sppnw41.txt
100.0,18987.6,1210.8137924553055,0.006381487846374512,"(1000, 0.99, 500, 0.001, 500, 1000)",datasets/sppnw41.txt
100.0,43391.0,9454.347878092914,0.0178725004196167,"(1000, 0.99, 500, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,280531.1,119626.1150045842,0.017966794967651366,"(1000, 0.99, 500, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,18185.4,1873.8622788241403,0.009751701354980468,"(1000, 0.99, 500, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,43547.6,13154.77453398575,0.017972397804260253,"(1000, 0.99, 500, 0.001, 1000, 10000)",datasets/sppnw41.txt
100.0,280846.7,139872.0489454916,0.019885706901550292,"(1000, 0.99, 500, 0.001, 1000, 100000)",datasets/sppnw41.txt
100.0,19327.3,758.1,0.00705876350402832,"(1000, 0.99, 500, 0.001, 2000, 1000)",datasets/sppnw41.txt
100.0,41016.4,11429.116984264358,0.024152970314025878,"(1000, 0.99, 500, 0.001, 2000, 10000)",datasets/sppnw41.txt
100.0,289428.0,147363.26556506543,0.01799349784851074,"(1000, 0.99, 500, 0.001, 2000, 100000)",datasets/sppnw41.txt
100.0,19557.5,48.67699662058044,0.007367563247680664,"(1000, 0.99, 500, 0.0001, 500, 1000)",datasets/sppnw41.txt
100.0,42287.6,14580.395798468571,0.01669909954071045,"(1000, 0.99, 500, 0.0001, 500, 10000)",datasets/sppnw41.txt
100.0,317452.2,139698.63012556708,0.016739606857299805,"(1000, 0.99, 500, 0.0001, 500, 100000)",datasets/sppnw41.txt
100.0,19227.1,676.5468867713457,0.0073779582977294925,"(1000, 0.99, 500, 0.0001, 1000, 1000)",datasets/sppnw41.txt
100.0,49317.7,11588.55323196127,0.019884681701660155,"(1000, 0.99, 500, 0.0001, 1000, 10000)",datasets/sppnw41.txt
100.0,179667.1,140183.12647423014,0.01825568675994873,"(1000, 0.99, 500, 0.0001, 1000, 100000)",datasets/sppnw41.txt
100.0,18847.1,1534.1804620056926,0.008915281295776368,"(1000, 0.99, 500, 0.0001, 2000, 1000)",datasets/sppnw41.txt
100.0,53325.1,12111.523764167743,0.013644003868103027,"(1000, 0.99, 500, 0.0001, 2000, 10000)",datasets/sppnw41.txt
100.0,299689.0,150188.38708968146,0.01826486587524414,"(1000, 0.99, 500, 0.0001, 2000, 100000)",datasets/sppnw41.txt
100.0,18227.5,1736.3353506739418,0.0084519624710083,"(1000, 0.99, 500, 1e-05, 500, 1000)",datasets/sppnw41.txt
100.0,40894.6,7563.302826146789,0.015586280822753906,"(1000, 0.99, 500, 1e-05, 500, 10000)",datasets/sppnw41.txt
100.0,299768.2,144528.03986133623,0.017074322700500487,"(1000, 0.99, 500, 1e-05, 500, 100000)",datasets/sppnw41.txt
100.0,18522.2,1854.0302478654442,0.009839534759521484,"(1000, 0.99, 500, 1e-05, 1000, 1000)",datasets/sppnw41.txt
100.0,44602.0,15998.821600355446,0.014165806770324706,"(1000, 0.99, 500, 1e-05, 1000, 10000)",datasets/sppnw41.txt
100.0,347235.9,159196.7353305023,0.01273040771484375,"(1000, 0.99, 500, 1e-05, 1000, 100000)",datasets/sppnw41.txt
100.0,18312.3,1605.2709459776565,0.009934186935424805,"(1000, 0.99, 500, 1e-05, 2000, 1000)",datasets/sppnw41.txt
100.0,43751.9,14975.607429750555,0.014613795280456542,"(1000, 0.99, 500, 1e-05, 2000, 10000)",datasets/sppnw41.txt
100.0,327312.7,154909.00289076162,0.019073057174682616,"(1000, 0.99, 500, 1e-05, 2000, 100000)",datasets/sppnw41.txt
100.0,18559.2,2042.7462789098406,0.01057438850402832,"(1000, 0.99, 1000, 0.001, 500, 1000)",datasets/sppnw41.txt
100.0,44215.4,13251.974563815009,0.02272961139678955,"(1000, 0.99, 1000, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,297000.1,105609.57499057554,0.03879067897796631,"(1000, 0.99, 1000, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,18496.5,1357.3410956719758,0.010546469688415527,"(1000, 0.99, 1000, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,39964.4,13160.684254247573,0.02604343891143799,"(1000, 0.99, 1000, 0.001, 1000, 10000)",datasets/sppnw41.txt
100.0,349524.6,140366.08062149488,0.029984521865844726,"(1000, 0.99, 1000, 0.001, 1000, 100000)",datasets/sppnw41.txt
100.0,19109.5,825.9587459431615,0.006316852569580078,"(1000, 0.99, 1000, 0.001, 2000, 1000)",datasets/sppnw41.txt
100.0,46247.1,13248.530744576925,0.026031494140625,"(1000, 0.99, 1000, 0.001, 2000, 10000)",datasets/sppnw41.txt
100.0,258149.7,135113.48887957114,0.03389561176300049,"(1000, 0.99, 1000, 0.001, 2000, 100000)",datasets/sppnw41.txt
100.0,18608.7,1472.342830321797,0.015016293525695801,"(1000, 0.99, 1000, 0.0001, 500, 1000)",datasets/sppnw41.txt
100.0,43754.0,14756.080380643092,0.03416748046875,"(1000, 0.99, 1000, 0.0001, 500, 10000)",datasets/sppnw41.txt
100.0,290675.7,125335.9195857676,0.030549025535583495,"(1000, 0.99, 1000, 0.0001, 500, 100000)",datasets/sppnw41.txt
100.0,18424.3,1180.3496981827038,0.00768287181854248,"(1000, 0.99, 1000, 0.0001, 1000, 1000)",datasets/sppnw41.txt
100.0,43921.2,12821.358686192349,0.03414621353149414,"(1000, 0.99, 1000, 0.0001, 1000, 10000)",datasets/sppnw41.txt
